file,distance_m,max_speed_mps,anomalies
route_2018-03-13_2.49pm.gpx,3834.47,7.009,0
route_2018-03-13_4.28pm.gpx,3919.0,5.835,0
route_2018-03-14_12.00pm.gpx,2341.92,3.787,0
route_2018-03-14_3.59pm.gpx,6552.94,6.804,0
route_2018-03-15_11.39am.gpx,4451.54,10.232,0
route_2018-03-15_4.23pm.gpx,5958.05,8.477,0
route_2018-03-15_7.13am.gpx,837.91,3.803,0
route_2018-03-16_11.18am.gpx,1147.8,6.29,0
route_2018-03-16_4.19pm.gpx,3650.7,4.231,0
route_2018-03-17_4.13pm.gpx,8941.48,12.343,1
route_2018-03-18_2.50pm.gpx,5529.36,24.641,12
route_2018-03-19_10.17am.gpx,3183.32,9.406,0
route_2018-03-19_7.49pm.gpx,5522.58,17.022,5
route_2018-03-20_3.31pm.gpx,6554.45,15.976,3
route_2018-03-21_4.34pm.gpx,6410.34,27.404,11
route_2018-03-21_8.28am.gpx,839.8,7.172,0
route_2018-03-22_11.47am.gpx,571.99,3.425,0
route_2018-03-23_12.58pm.gpx,7306.29,81.75,5
route_2018-03-23_6.01pm.gpx,3231.5,9.576,0
route_2018-03-23_7.24pm.gpx,3202.3,29.303,1
route_2018-03-24_11.28am.gpx,3702.01,23.704,10
route_2018-03-24_2.00pm.gpx,5538.59,19.615,5
route_2018-03-24_3.08pm.gpx,5475.54,51.046,7
route_2018-03-24_5.53pm.gpx,192.23,7.364,0
route_2018-03-25_11.48am.gpx,1566.52,18.617,2
route_2018-03-26_8.13pm.gpx,3124.12,10.475,0
route_2018-03-27_1.25pm.gpx,3496.4,22.914,3
route_2018-03-28_1.07pm.gpx,5023.01,30.151,11
route_2018-03-28_4.30pm.gpx,5169.77,20.056,5
route_2018-03-29_7.21pm.gpx,2354.02,12.139,1
route_2018-03-30_3.00pm.gpx,2802.03,19.376,3
route_2018-03-30_5.25pm.gpx,4029.45,14.799,2
route_2018-03-31_1.02pm.gpx,8705.04,21.98,2
route_2018-04-01_12.37pm.gpx,998.7,11.575,1
route_2018-04-02_7.35pm.gpx,1891.1,11.898,2
route_2018-04-03_10.40am.gpx,1774.35,15.635,1
route_2018-04-03_2.37pm.gpx,3384.55,14.285,1
route_2018-04-04_5.59pm.gpx,5816.74,16.937,1
route_2018-04-05_2.04pm.gpx,3941.38,5.978,0
route_2018-04-05_5.03pm.gpx,3359.74,13.869,2
route_2018-04-06_11.07am.gpx,1112.73,15.46,1
route_2018-04-06_3.25pm.gpx,4771.95,14.153,1
route_2018-04-08_1.38pm.gpx,1343.22,5.705,0
route_2018-04-09_4.21pm.gpx,1720.58,12.413,1
route_2018-04-15_5.13pm.gpx,1743.13,12.135,1
route_2018-04-15_5.23pm.gpx,1194.19,6.864,0
route_2018-04-15_9.20am.gpx,21578.39,24.707,21
route_2018-04-16_12.31pm.gpx,1227.96,5.005,0
route_2018-04-21_1.14pm.gpx,3283.97,13.895,1
route_2018-04-22_4.46pm.gpx,3147.77,13.579,1
route_2018-05-01_10.03am.gpx,4191.47,15.018,3
route_2018-05-01_10.48pm.gpx,553.42,12.818,1
route_2018-05-02_5.39pm.gpx,11104.08,15.47,4
route_2018-05-03_3.39pm.gpx,13308.21,22.239,207
route_2018-05-04_6.01pm.gpx,1302.21,7.846,0
route_2018-05-06_11.31am.gpx,7769.76,33.566,14
route_2018-05-07_4.49pm.gpx,3285.28,8.94,0
route_2018-05-07_6.08pm.gpx,4651.01,13.76,1
route_2018-05-08_8.07pm.gpx,6636.67,18.498,2
route_2018-05-09_8.01pm.gpx,7261.93,10.452,0
route_2018-05-09_8.17pm.gpx,339.45,27.9,3
route_2018-05-10_7.50pm.gpx,2980.45,14.135,2
route_2018-05-10_8.11pm.gpx,1218.01,60.563,6
route_2018-05-11_5.56pm.gpx,7245.61,14.785,2
route_2018-05-12_7.22pm.gpx,9592.08,28.466,345
route_2018-05-16_3.33pm.gpx,14429.61,22.395,18
route_2018-05-17_1.12pm.gpx,1327.61,16.246,6
route_2018-05-17_11.06am.gpx,2071.56,14.011,2
route_2018-05-18_3.00pm.gpx,3539.34,18.797,1
route_2018-05-20_8.28am.gpx,4858.41,14.306,9
route_2018-05-21_11.48am.gpx,6967.95,13.603,2
route_2018-05-22_9.21pm.gpx,6978.14,8.482,0
route_2018-05-23_11.58am.gpx,2445.09,17.038,3
route_2018-05-24_11.31am.gpx,3429.69,18.405,2
route_2018-05-25_6.28pm.gpx,5835.28,12.525,1
route_2018-05-26_12.19pm.gpx,9166.22,29.287,4
route_2018-05-26_8.36pm.gpx,4391.04,12.811,3
route_2018-05-27_12.16pm.gpx,35.54,1.512,0
route_2018-05-28_1.50pm.gpx,3472.58,29.587,11
route_2018-05-28_11.01am.gpx,4941.37,43.238,10
route_2018-05-29_1.44pm.gpx,2260.93,7.533,0
route_2018-05-30_10.27am.gpx,1681.41,9.745,0
route_2018-05-30_4.24pm.gpx,4025.64,13.789,2
route_2018-05-31_10.17am.gpx,6837.15,16.056,1
route_2018-05-31_11.18am.gpx,2707.75,20.818,3
route_2018-06-02_4.58pm.gpx,2311.89,18.667,3
route_2018-06-05_6.59pm.gpx,8806.34,20.388,3
route_2018-06-08_7.49pm.gpx,1666.34,17.794,2
route_2018-06-10_11.22am.gpx,5751.79,22.771,23
route_2018-06-14_8.24pm.gpx,4306.95,16.644,11
route_2018-06-15_3.55pm.gpx,1588.36,14.059,4
route_2018-06-17_1.15pm.gpx,6645.27,24.359,17
route_2018-06-18_7.34pm.gpx,5190.35,11.517,1
route_2018-06-20_7.14pm.gpx,643.4,14.516,1
route_2018-06-21_8.54pm.gpx,6438.72,23.173,2
route_2018-06-25_6.44pm.gpx,1061.35,7.304,0
route_2018-06-27_10.10am.gpx,4544.87,20.452,7
route_2018-07-02_12.35pm.gpx,6229.45,9.926,0
route_2018-07-03_9.03pm.gpx,7008.54,15.343,2
route_2018-07-04_12.46pm.gpx,503.51,10.365,0
route_2018-07-05_4.00pm.gpx,3427.75,6.455,0
route_2018-07-05_5.25pm.gpx,3662.96,30.639,5
route_2018-07-08_11.45am.gpx,3682.66,21.134,2
route_2018-07-11_1.44pm.gpx,9587.96,7.241,0
route_2018-07-13_7.31pm.gpx,4282.68,16.458,3
route_2018-07-15_3.59pm.gpx,8408.67,46.603,11
route_2018-07-23_2.48pm.gpx,8615.38,20.062,3
route_2018-07-27_5.19pm.gpx,4969.33,26.687,114
route_2018-07-31_5.33pm.gpx,3158.05,20.05,3
route_2018-08-09_12.46pm.gpx,6471.59,16.116,1
route_2018-08-26_4.22pm.gpx,8979.99,14.425,1
route_2018-08-27_5.31pm.gpx,3614.01,23.054,4
route_2018-09-01_7.33pm.gpx,16037.94,53.921,125
route_2018-09-03_5.07pm.gpx,6405.0,7.407,0
route_2018-09-03_5.38pm.gpx,1164.39,10.786,0
route_2018-09-05_10.21am.gpx,728.37,5.475,0
route_2018-09-07_7.07pm.gpx,4942.02,21.309,1
route_2018-09-13_1.29pm.gpx,2595.14,20.836,9
route_2018-09-15_4.45pm.gpx,1210.05,11.12,0
route_2018-09-18_4.43pm.gpx,7211.33,16.143,3
route_2018-09-22_5.56pm.gpx,6904.76,49.992,6
route_2018-09-23_8.28pm.gpx,12347.54,11.885,1
route_2018-09-27_4.47pm.gpx,8329.82,11.865,1
route_2018-09-28_1.00pm.gpx,6609.17,6.39,0
route_2018-09-30_4.07pm.gpx,12.38,0.458,0
route_2018-10-02_4.49pm.gpx,8151.74,20.375,19
route_2018-10-03_2.19pm.gpx,6012.14,14.942,2
route_2018-10-03_4.01pm.gpx,271.37,2.469,0
route_2018-10-04_7.25pm.gpx,4395.01,8.454,0
route_2018-10-04_7.33pm.gpx,42.27,15.045,1
route_2018-10-07_3.06pm.gpx,2536.83,16.116,1
route_2018-10-07_3.47pm.gpx,4304.38,7.203,0
route_2018-10-08_4.55pm.gpx,3612.81,14.144,4
route_2018-10-08_5.19pm.gpx,263.07,19.268,4
route_2018-10-09_11.40am.gpx,27.31,0.81,0
route_2018-10-09_12.23pm.gpx,104.14,3.787,0
route_2018-10-09_12.41pm.gpx,300.95,17.452,3
route_2018-10-10_10.46am.gpx,1407.09,13.456,2
route_2018-10-10_2.25pm.gpx,4135.91,15.504,3
route_2018-10-10_2.41pm.gpx,496.72,1.701,0
route_2018-10-12_1.02pm.gpx,641.21,13.39,1
route_2018-10-12_12.34pm.gpx,6368.26,17.612,2
route_2018-10-13_2.54pm.gpx,2255.15,8.538,0
route_2018-10-15_5.50pm.gpx,2401.28,20.043,7
route_2018-10-16_2.13pm.gpx,2896.8,15.466,6
route_2018-10-16_2.33pm.gpx,263.61,14.907,1
route_2018-10-16_4.05pm.gpx,430.12,8.683,0
route_2018-10-17_12.08pm.gpx,2483.98,22.124,3
route_2018-10-17_12.33pm.gpx,96.15,17.904,1
route_2018-10-17_12.51pm.gpx,96.37,7.596,0
route_2018-10-19_3.44pm.gpx,2248.22,16.568,5
route_2018-10-19_6.02pm.gpx,2101.57,19.394,5
route_2018-10-19_6.27pm.gpx,931.51,2.567,0
route_2018-10-20_2.38pm.gpx,5196.09,16.209,2
route_2018-10-20_4.05pm.gpx,1448.87,4.787,0
route_2018-10-20_4.56pm.gpx,1380.37,10.816,0
route_2018-10-21_12.09pm.gpx,511.54,15.718,18
route_2018-10-23_1.13pm.gpx,2033.02,29.381,3
route_2018-10-23_3.45pm.gpx,3251.89,19.189,2
route_2018-10-23_4.05pm.gpx,233.02,10.708,0
route_2018-10-24_11.35am.gpx,3015.28,13.022,2
route_2018-10-24_8.20pm.gpx,190.93,6.779,0
route_2018-10-25_5.40pm.gpx,1578.78,25.78,17
route_2018-10-26_1.08pm.gpx,2889.76,11.498,0
route_2018-10-26_1.13pm.gpx,207.22,25.733,4
route_2018-10-27_2.06pm.gpx,1413.0,10.732,0
route_2018-10-27_5.38pm.gpx,3801.65,24.964,23
route_2018-10-27_5.54pm.gpx,296.18,14.023,2
route_2018-11-04_12.27am.gpx,656.29,2.252,0
route_2018-11-07_4.49pm.gpx,474.3,5.505,0
route_2018-11-07_5.42pm.gpx,5230.09,18.041,4
route_2018-11-07_5.57pm.gpx,204.65,7.889,0
route_2018-11-10_11.45am.gpx,1399.31,12.76,3
route_2018-11-10_12.27pm.gpx,1226.38,7.894,0
route_2018-11-10_3.04pm.gpx,1955.8,14.684,3
route_2018-11-11_1.40pm.gpx,4535.23,12.133,1
route_2018-11-12_12.10pm.gpx,2603.82,14.536,3
route_2018-11-12_2.14pm.gpx,1853.35,18.286,4
route_2018-11-13_5.13pm.gpx,2668.66,8.069,0
route_2018-11-14_10.33am.gpx,2564.43,10.841,0
route_2018-11-14_5.24pm.gpx,2094.45,21.957,6
route_2018-11-15_11.27am.gpx,6647.27,7.722,0
route_2018-11-15_12.11pm.gpx,1324.69,14.133,1
route_2018-11-16_12.55pm.gpx,2545.12,10.843,0
route_2018-11-17_5.15pm.gpx,1520.17,15.901,3
route_2018-11-19_5.31pm.gpx,1279.66,23.45,21
route_2018-11-20_4.30pm.gpx,1318.18,13.063,2
route_2018-11-21_9.13am.gpx,3043.24,7.064,0
route_2018-11-22_1.03pm.gpx,4821.84,9.416,0
route_2018-11-22_10.26am.gpx,86.44,16.182,1
route_2018-11-23_12.34pm.gpx,9087.32,22.45,2
route_2018-11-24_1.47pm.gpx,4282.53,11.462,0
route_2018-11-25_11.08am.gpx,3958.62,33.103,3
route_2018-11-25_5.42pm.gpx,1062.79,7.894,0
route_2018-11-29_5.10pm.gpx,2726.28,33.344,2
route_2019-01-15_1.28pm.gpx,3496.41,4.79,0
route_2019-01-16_1.32pm.gpx,29.51,0.746,0
route_2019-01-16_1.35pm.gpx,47.98,1.101,0
route_2019-01-16_1.38pm.gpx,23.35,0.802,0
route_2019-01-16_2.19pm.gpx,4647.1,4.793,0
route_2019-01-16_4.21pm.gpx,2205.06,21.156,8
route_2019-01-18_2.20pm.gpx,4846.3,14.062,3
route_2019-01-19_10.42pm.gpx,805.44,14.076,2
route_2019-03-29_7.51pm.gpx,5306.28,28.523,2
route_2019-03-30_2.42pm.gpx,5120.6,17.517,2
route_2019-04-01_12.46pm.gpx,5089.9,35.426,2
route_2019-04-02_12.18pm.gpx,5139.06,18.309,3
route_2019-04-03_7.04pm.gpx,5182.08,12.911,1
route_2019-04-09_8.26pm.gpx,5110.88,14.038,3
route_2019-04-10_3.23pm.gpx,4904.65,9.666,0
route_2019-04-11_5.08pm.gpx,4935.52,16.233,2
route_2019-04-15_1.15pm.gpx,2466.15,10.082,0
route_2019-04-16_6.14pm.gpx,3254.71,11.104,0
route_2019-04-17_4.55pm.gpx,3405.73,10.578,0
route_2019-04-22_7.43pm.gpx,3322.42,23.351,6
route_2019-04-23_5.24pm.gpx,3182.41,7.96,0
route_2019-05-01_9.31am.gpx,2841.79,22.735,3
route_2019-05-03_9.24am.gpx,1741.52,14.952,2
route_2019-05-04_10.47am.gpx,3586.56,30.371,1
route_2019-05-04_7.39pm.gpx,3298.93,9.671,0
route_2019-05-06_8.51am.gpx,3148.45,11.369,0
route_2019-05-09_2.33pm.gpx,3559.15,5.348,0
route_2019-05-12_8.32pm.gpx,3340.8,4.935,0
route_2019-05-13_10.12pm.gpx,5212.52,31.129,4
route_2019-05-14_8.50pm.gpx,4852.0,12.811,1
route_2019-05-22_8.19pm.gpx,5041.66,15.626,3
route_2019-05-27_1.27pm.gpx,4901.36,12.083,1
route_2019-05-27_12.44pm.gpx,251.68,20.612,3
route_2019-05-27_2.09pm.gpx,1406.64,25.975,6
route_2019-05-27_2.56pm.gpx,386.41,12.911,2
route_2019-05-28_6.58pm.gpx,525.8,15.221,5
route_2019-06-01_3.52pm.gpx,6829.18,25.433,8
route_2019-06-02_4.54pm.gpx,1643.23,24.599,3
route_2019-06-04_8.54pm.gpx,6504.03,22.78,11
route_2019-06-05_5.32pm.gpx,3916.61,15.02,3
route_2019-06-06_2.53pm.gpx,3045.44,12.577,1
route_2019-06-06_3.21pm.gpx,586.44,21.016,4
route_2019-06-06_7.44pm.gpx,1783.15,32.827,26
route_2019-06-07_7.06pm.gpx,3577.36,10.91,0
route_2019-07-03_7.44pm.gpx,1916.04,9.563,0
route_2019-07-04_8.34am.gpx,1526.0,14.689,2
route_2019-07-05_1.59pm.gpx,907.27,22.027,1
route_2019-08-18_12.24pm.gpx,3221.47,112.941,1
route_2019-09-02_1.13pm.gpx,3456.55,39.581,7
route_2019-09-03_8.09pm.gpx,50.88,1.069,0
route_2019-09-03_8.41pm.gpx,2331.5,7.502,0
route_2019-09-04_12.05pm.gpx,383.76,18.812,1
